0,1,2,3,4,5,6,7
7.999350547790527,6.544924736022949,5.750052452087402,5.462984561920166,7.345437049865723,8.470580101013184,6.782489776611328,8.604804039001465
6.2588911056518555,5.063563346862793,4.326423645019531,3.886514663696289,5.915704727172852,8.028502464294434,6.535757541656494,6.532892227172852
3.4766626358032227,2.8829362392425537,2.4158949851989746,2.010786771774292,3.551215648651123,5.487679481506348,4.297366619110107,3.8011274337768555
2.8792927265167236,2.5100347995758057,2.09244966506958,1.7773234844207764,3.1432604789733887,5.312901496887207,3.8995232582092285,3.201552391052246
1.9935603141784668,1.7125022411346436,1.544584035873413,0.9098484516143799,2.2896888256073,4.637962341308594,2.7239160537719727,2.334728717803955
2.0485894680023193,1.6330456733703613,1.6320366859436035,0.9549810886383057,2.441434144973755,4.822124481201172,2.8461456298828125,2.3663318157196045
1.4893724918365479,1.088759422302246,1.109088659286499,0.35621070861816406,1.7090058326721191,3.847627639770508,1.9459917545318604,1.7977497577667236
2.6325430870056152,1.974992036819458,1.617236614227295,1.5514023303985596,3.252608299255371,4.612731456756592,3.6983447074890137,2.764791488647461
1.9265835285186768,1.3993346691131592,1.4399302005767822,0.7065936326980591,2.377683401107788,3.8808584213256836,2.2776622772216797,2.3287007808685303
2.4840564727783203,1.969703197479248,1.5145576000213623,1.237396478652954,3.4125771522521973,4.121396064758301,3.4853272438049316,2.8477683067321777
2.2423908710479736,1.957092523574829,1.6776964664459229,1.0252089500427246,2.898967981338501,4.31643533706665,2.841228485107422,2.687370777130127
2.42232608795166,2.253404378890991,1.5646355152130127,1.251326560974121,3.3373665809631348,4.478915214538574,3.2648234367370605,2.955936908721924
1.8941209316253662,1.661864995956421,1.146984338760376,0.8269271850585938,2.9455156326293945,3.413878917694092,2.6177563667297363,2.658198356628418
2.8359625339508057,3.201939582824707,1.8902325630187988,1.7880666255950928,3.9212374687194824,5.200860023498535,3.8332533836364746,3.6363582611083984
1.9273910522460938,2.039675235748291,1.2669763565063477,0.8581444025039673,2.9457790851593018,3.8129262924194336,2.6578540802001953,2.826521635055542
1.706181526184082,1.8409807682037354,1.2728040218353271,0.7082897424697876,2.7622203826904297,3.5683956146240234,2.3280155658721924,2.788902521133423
1.7335891723632812,2.035299062728882,1.1469824314117432,0.8125437498092651,2.8677899837493896,3.5864109992980957,2.6946277618408203,2.910554885864258
1.3718552589416504,1.619896650314331,0.9089255332946777,0.6670112609863281,2.51952862739563,2.7314698696136475,2.4513590335845947,2.6089348793029785
1.7903306484222412,2.216320037841797,1.1487095355987549,1.081822395324707,3.0010228157043457,3.301301956176758,2.9476230144500732,3.1496124267578125
1.6366300582885742,1.922619104385376,1.24562406539917,0.8725624084472656,2.8101894855499268,3.240260601043701,2.6442949771881104,2.916875123977661
1.8467991352081299,2.3125011920928955,1.4244554042816162,1.0875201225280762,3.0321874618530273,3.8075594902038574,2.7681379318237305,3.220391273498535
2.6076247692108154,4.250901222229004,1.657195806503296,2.2510077953338623,3.3201146125793457,4.815026760101318,3.762974739074707,3.3323488235473633
1.5471396446228027,1.8651866912841797,1.3341612815856934,0.9084389209747314,2.728472948074341,3.1236276626586914,2.499701738357544,3.0742616653442383
1.6631195545196533,2.0449109077453613,1.4739046096801758,0.9135174751281738,2.695181131362915,3.4744462966918945,2.382976531982422,3.212477207183838
1.6266148090362549,2.2425360679626465,1.2871718406677246,1.3598036766052246,2.9398560523986816,3.2644338607788086,3.069307327270508,3.0528135299682617
2.5365147590637207,3.5223865509033203,2.0845513343811035,2.0311684608459473,3.8297643661499023,4.610620498657227,3.917304039001465,4.327165126800537
2.0363926887512207,2.67329740524292,1.6869661808013916,1.562899112701416,3.2218151092529297,3.832068920135498,3.1729369163513184,3.7995266914367676
1.9941940307617188,2.4760825634002686,1.7984564304351807,1.3115026950836182,3.003176689147949,3.896735668182373,2.9040894508361816,3.7052087783813477
2.0833075046539307,2.7830944061279297,1.9532010555267334,1.366873025894165,3.17657470703125,4.099050521850586,3.2065577507019043,3.824171543121338
2.370373249053955,3.239968776702881,2.3944530487060547,1.697838306427002,3.491117477416992,4.464102268218994,3.668666362762451,4.387060642242432
2.60007905960083,3.6593551635742188,1.9793739318847656,1.9063823223114014,3.2419252395629883,4.913827419281006,3.6681747436523438,3.915688991546631
2.4690492153167725,3.3013854026794434,1.9973554611206055,1.8671746253967285,3.3722996711730957,4.471231937408447,3.6861767768859863,4.069486141204834
2.638489246368408,3.967162609100342,2.319931745529175,2.134852170944214,3.6549859046936035,4.894785404205322,4.275277137756348,4.308796405792236
2.423234224319458,3.468776226043701,2.403748035430908,1.6352388858795166,3.1858253479003906,4.678898334503174,3.737762928009033,4.203719615936279
1.5004792213439941,1.7544710636138916,2.090972900390625,0.6050208806991577,2.1904985904693604,3.011617660522461,2.259248971939087,3.6145524978637695
1.2124931812286377,1.6981682777404785,1.7245056629180908,0.7740904092788696,2.201282024383545,2.6382524967193604,2.518108367919922,3.1900081634521484
1.7522070407867432,2.655407428741455,1.0581917762756348,1.498833417892456,2.6954236030578613,3.2086806297302246,3.032433032989502,2.8193280696868896
1.8588712215423584,2.139003276824951,2.3128433227539062,0.8923059701919556,2.531728744506836,3.451910972595215,2.677272081375122,4.102622985839844
2.715494394302368,4.08051061630249,2.382990598678589,2.0032718181610107,3.6978325843811035,4.99017858505249,4.205227375030518,4.150391578674316
2.4778037071228027,3.6268463134765625,2.2608354091644287,1.673598051071167,3.571265697479248,4.599653244018555,3.9253416061401367,4.315320014953613
2.175166130065918,2.907597303390503,2.48036527633667,1.2272427082061768,3.2260074615478516,3.938788890838623,3.386531352996826,4.0242018699646
2.5939395427703857,3.7563648223876953,1.407721996307373,1.7403786182403564,3.158660411834717,4.118894100189209,3.2523889541625977,3.0313010215759277
2.479609489440918,3.3698530197143555,2.2083852291107178,1.3864641189575195,3.4407482147216797,4.460235595703125,3.6353468894958496,3.9978842735290527
2.339285373687744,3.1746325492858887,2.358826160430908,1.191589593887329,3.426079750061035,4.237281799316406,3.551266670227051,4.026350021362305
2.124279737472534,3.0157647132873535,2.2206990718841553,1.192577838897705,3.4512009620666504,3.947360038757324,3.4488296508789062,3.82473087310791
2.1604180335998535,3.1841092109680176,1.4292552471160889,1.3415977954864502,3.445709228515625,3.9571962356567383,3.356217861175537,2.8002707958221436
2.3489267826080322,3.2714028358459473,2.5364491939544678,1.1902635097503662,3.551539897918701,4.4430036544799805,3.5855517387390137,4.076625823974609
2.529323101043701,3.9279942512512207,2.441826581954956,1.4392387866973877,3.863480567932129,4.751695156097412,4.061569690704346,3.9450087547302246
2.429415225982666,3.630028247833252,2.3309061527252197,1.2474055290222168,3.842275619506836,4.655531406402588,3.7684497833251953,3.8743715286254883
2.593461751937866,4.157037258148193,2.134106159210205,1.6236021518707275,4.123934745788574,4.741738319396973,4.149592399597168,3.425283432006836
2.2539169788360596,3.421938896179199,1.8029322624206543,1.2657396793365479,4.016570091247559,4.118157863616943,3.699787139892578,2.982164144515991
2.699458360671997,4.2710347175598145,2.315450429916382,1.4778356552124023,4.153443336486816,4.931949138641357,4.267552852630615,3.62306547164917
2.2286274433135986,3.6775898933410645,1.6910128593444824,1.3058664798736572,3.818291664123535,4.1679253578186035,3.8347043991088867,2.7684030532836914
2.13181471824646,2.9857850074768066,2.4219555854797363,0.8582937717437744,3.1808905601501465,4.0378265380859375,3.191622734069824,3.705108165740967
