round,acc,loss,Fw_norm
44,56.63,246.06228637695312,4.950458526611328
45,57.25,242.06454598903656,5.034629821777344
46,57.21,245.19436717033386,4.948124885559082
47,57.29,243.70499795675278,5.158422946929932
48,57.39,243.96458739042282,5.004916191101074
49,57.66,245.8792648911476,5.066715717315674
50,57.25,245.16533493995667,5.027899742126465
51,57.43,247.8848015666008,5.133550643920898
52,57.84,243.84219139814377,5.244846820831299
53,57.99,248.0245475769043,5.035560131072998
54,57.93,246.64060252904892,5.166028022766113
55,58.49,243.8184574842453,5.103649616241455
56,58.1,247.58735072612762,5.047645092010498
57,58.45,247.82620757818222,5.1646809577941895
58,58.45,244.04674500226974,5.216778755187988
59,58.51,248.16179805994034,5.160454750061035
60,58.88,244.19362139701843,5.186390399932861
61,58.79,243.57360124588013,5.145761966705322
62,58.72,248.09979623556137,5.1660542488098145
63,59.02,245.17451471090317,5.274280071258545
64,58.52,247.46749871969223,5.227352142333984
65,58.94,248.4930391907692,5.20349645614624
66,59.37,245.01038110256195,5.2970075607299805
67,59.6,242.15199154615402,5.196258544921875
68,59.21,245.57217234373093,5.117853164672852
69,59.46,243.3912365436554,5.200962543487549
70,59.61,244.03128069639206,5.141165733337402
71,59.87,242.2348981499672,5.253719329833984
72,59.5,247.4940848350525,5.190977573394775
73,59.36,249.38686281442642,5.296372413635254
74,59.85,245.7999141216278,5.35872220993042
75,60.06,245.58469659090042,5.293313026428223
76,60.03,246.00354832410812,5.247350215911865
77,60.05,245.3631911277771,5.391785144805908
78,59.93,245.93242639303207,5.3001179695129395
79,60.45,241.88013046979904,5.46179723739624
80,60.08,247.0648770928383,5.245194435119629
81,60.33,244.6022982597351,5.206489562988281
82,60.3,244.9122056365013,5.2701263427734375
83,60.46,243.6085951924324,5.297574520111084
84,60.69,243.88334798812866,5.255186557769775
85,61.1,244.81402385234833,5.309545993804932
86,60.76,238.83849292993546,5.372195720672607
87,60.57,247.37598913908005,4.977053165435791
88,61.19,244.10597622394562,5.413264274597168
89,61.41,241.4430513381958,5.236535549163818
90,61.17,245.07114726305008,5.177369117736816
91,61.04,242.53111970424652,5.350973606109619
92,61.69,239.1351813673973,5.228743553161621
93,61.72,241.9899621605873,5.180238246917725
94,62.2,238.14081966876984,5.216670513153076
95,61.65,240.72634357213974,5.032512664794922
96,61.26,243.00286549329758,5.215814113616943
97,62.19,236.45233845710754,5.291589736938477
98,61.61,244.7855862379074,4.962882041931152
99,61.89,241.5754138827324,5.381458759307861
100,63.05,242.0903164744377,5.242075443267822
101,62.21,239.18739885091782,5.6248698234558105
102,62.61,234.67095059156418,5.286102771759033
103,62.13,241.510990858078,5.112949848175049
104,62.48,235.30025953054428,5.331613540649414
105,62.0,240.65463280677795,5.003616809844971
106,62.21,241.89744275808334,5.2147746086120605
107,62.05,241.19283777475357,5.305756568908691
108,62.14,240.7631238102913,5.270686149597168
109,62.3,239.08831125497818,5.258670806884766
110,61.61,248.33953255414963,5.224923133850098
111,61.92,246.17733126878738,5.570475101470947
112,62.33,249.3164665699005,5.4149250984191895
113,62.09,244.5838885307312,5.559844493865967
114,62.36,239.78244107961655,5.372787952423096
115,62.51,242.6605686545372,5.2504143714904785
116,62.12,248.45441508293152,5.303004264831543
117,62.38,242.21817594766617,5.5449066162109375
118,63.09,239.23094201087952,5.274396896362305
119,62.81,239.9131310582161,5.226409435272217
120,62.53,241.1395564675331,5.241595268249512
121,62.95,240.92273837327957,5.333350658416748
122,62.6,247.40843951702118,5.290691375732422
123,62.7,240.65710961818695,5.587332725524902
124,62.42,240.87183851003647,5.312789440155029
125,62.64,241.72565376758575,5.359580039978027
126,62.59,237.65873593091965,5.418871879577637
127,62.47,246.388286113739,5.189598083496094
128,62.71,242.95687228441238,5.552728176116943
129,63.89,234.38267254829407,5.485470294952393
130,63.62,243.86377292871475,5.128391265869141
131,63.6,234.12571954727173,5.476141452789307
132,63.2,242.44397151470184,5.157326698303223
133,63.53,240.18840020895004,5.4268975257873535
134,63.84,233.8631700873375,5.385173797607422
135,63.06,239.08142280578613,5.09458065032959
136,62.86,239.45261067152023,5.314540386199951
137,63.21,238.5114968419075,5.345103740692139
138,63.3,234.1865263581276,5.277684688568115
