round,acc,loss,Fw_norm
48,45.37,228.5751965045929,2.71315336227417
49,44.7,226.8359875679016,2.5325210094451904
50,45.78,226.18254387378693,2.871734619140625
51,45.75,225.97812938690186,2.51851224899292
52,46.75,220.14498472213745,2.9186019897460938
53,47.55,221.13570284843445,3.0310471057891846
54,46.85,221.27177727222443,2.8949968814849854
55,47.34,217.43147492408752,2.9307191371917725
56,47.67,218.0150853395462,2.747612476348877
57,47.8,219.5128791332245,2.5907833576202393
58,47.68,220.4984347820282,2.6418521404266357
59,48.75,214.37123882770538,2.7990615367889404
60,48.14,216.8589609861374,2.8341305255889893
61,49.23,211.91387844085693,3.0573558807373047
62,48.92,213.793110370636,2.6922829151153564
63,49.69,209.8695861697197,2.6658198833465576
64,49.8,211.39000743627548,2.5955283641815186
65,48.58,212.41584050655365,2.9702744483947754
66,49.8,211.65645653009415,3.205260992050171
67,50.15,210.65122938156128,3.023132801055908
68,49.7,209.27440601587296,2.9229235649108887
69,49.49,212.07101172208786,3.056413173675537
70,50.58,207.32946455478668,3.2975668907165527
71,50.24,209.8117075562477,3.005831241607666
72,51.05,207.92812365293503,3.197206497192383
73,50.97,209.10672676563263,2.907855749130249
74,51.6,204.66571259498596,3.1934080123901367
75,51.77,201.095301091671,3.0991289615631104
76,51.55,203.58816879987717,2.58487606048584
77,51.05,202.8880929350853,2.786684989929199
78,51.01,206.34092611074448,2.914680242538452
79,51.38,204.46058559417725,3.1655635833740234
80,51.93,206.49501734972,3.133507251739502
81,51.56,203.91514152288437,3.2691190242767334
82,52.22,202.53830295801163,3.0713932514190674
83,51.82,201.6868224143982,3.012521266937256
84,52.56,195.27060943841934,2.9786036014556885
85,52.28,201.27887707948685,2.863776206970215
86,52.16,199.86708134412766,3.1084282398223877
87,52.43,200.15458291769028,3.059605121612549
88,52.62,197.42354851961136,3.3235080242156982
89,52.93,195.9024469256401,2.926016330718994
90,52.35,196.74798172712326,2.9430134296417236
91,52.38,197.43383061885834,3.2120163440704346
92,52.64,196.91627722978592,3.0234763622283936
93,53.11,194.93922758102417,3.1974101066589355
94,53.19,198.3349753022194,3.1799185276031494
95,52.83,193.5813266634941,3.642894744873047
96,53.46,195.52410739660263,3.1979281902313232
97,53.14,196.05413234233856,3.141294240951538
98,53.51,192.7029487490654,3.294673204421997
99,53.71,194.68375706672668,3.074669361114502
100,53.83,193.03830868005753,3.19831919670105
101,53.94,191.18243503570557,3.294321298599243
102,53.39,192.60475313663483,3.193798303604126
103,54.41,190.4156900048256,3.3280816078186035
104,53.68,196.7848230600357,3.1532671451568604
105,54.1,196.70211470127106,3.6385302543640137
106,54.03,197.0395791530609,3.8972957134246826
107,54.29,192.799898147583,3.702518939971924
108,54.29,190.18962585926056,3.419484853744507
109,54.51,192.13556134700775,3.1622369289398193
110,55.35,186.97237372398376,3.949841260910034
111,54.99,190.55878937244415,3.2650296688079834
112,55.34,188.07115137577057,3.643373727798462
113,55.55,187.53786689043045,3.3036952018737793
114,55.35,190.51950293779373,3.425086259841919
115,55.45,191.38595402240753,3.4232161045074463
116,55.78,187.24672853946686,3.418955087661743
117,56.46,182.10827893018723,3.285271167755127
118,53.53,191.30420243740082,2.9924283027648926
119,56.07,183.21112298965454,3.7319416999816895
120,56.0,180.08750826120377,3.0569896697998047
121,56.39,184.1017941236496,3.0923571586608887
122,56.43,183.48247909545898,3.16044020652771
123,56.07,184.76139378547668,3.4304378032684326
124,56.06,185.74909406900406,3.433178424835205
125,56.66,184.31262600421906,3.446678638458252
126,56.4,183.77661502361298,3.3564040660858154
127,57.46,175.47877591848373,3.3355562686920166
128,57.34,178.1725168824196,2.762948751449585
129,55.84,187.23338449001312,3.037942409515381
130,53.98,196.1012008190155,3.5078160762786865
131,56.28,182.89318013191223,4.505347728729248
132,54.54,188.33413314819336,3.5326764583587646
133,57.01,182.32322096824646,4.24017858505249
134,56.94,182.50477749109268,3.344564437866211
135,57.37,182.08551740646362,3.8268120288848877
136,57.77,177.53584587574005,3.480494260787964
137,57.04,180.56776547431946,3.4203624725341797
138,56.75,183.46868187189102,3.613945960998535
139,56.69,183.410770714283,3.4940621852874756
140,56.89,182.96312922239304,3.5337061882019043
141,57.33,177.8512271642685,3.562183380126953
142,58.05,175.09962129592896,3.3100461959838867
143,58.31,175.52493566274643,3.1204075813293457
144,57.89,173.38310742378235,3.2304577827453613
145,57.86,175.27140349149704,3.1002378463745117
146,57.54,176.32126438617706,3.3262295722961426
147,58.74,175.34854406118393,3.662277936935425
148,57.39,176.22975033521652,3.277496576309204
149,57.36,182.02829039096832,3.2017722129821777
150,58.73,175.36181449890137,3.9113450050354004
151,59.21,172.92953032255173,3.4054782390594482
152,58.98,170.27205502986908,3.4601430892944336
153,58.57,177.1186271905899,3.4454610347747803
154,58.22,181.98448079824448,3.795518398284912
155,58.58,176.8507297039032,3.8687143325805664
156,58.17,178.16739708185196,3.751594066619873
157,58.15,174.5279306769371,3.7527108192443848
158,59.25,173.88641375303268,3.887310743331909
159,59.61,170.21347904205322,3.3687562942504883
160,59.4,170.99189698696136,3.658277750015259
161,59.49,172.55287367105484,3.3979809284210205
162,58.8,173.3085213303566,3.39196515083313
163,60.02,168.27605539560318,3.5780208110809326
164,60.55,166.81645172834396,3.646730899810791
165,59.05,172.8948431611061,3.330960988998413
166,60.56,167.10959374904633,3.8095436096191406
167,59.22,173.26820921897888,3.6537837982177734
168,57.88,179.28968399763107,3.986585855484009
169,58.84,174.50569385290146,4.1672539710998535
170,59.82,169.64187133312225,4.076469898223877
171,61.15,167.7127383351326,3.532130241394043
172,60.12,169.24020272493362,3.693243980407715
173,60.66,168.72343009710312,3.5697083473205566
174,58.79,178.59429270029068,3.636930465698242
175,58.9,172.17030555009842,4.005605220794678
176,60.15,167.78866869211197,3.663393497467041
177,58.94,173.6337199807167,3.4236083030700684
178,60.09,177.44007086753845,4.258697986602783
