round,acc,loss,Fw_norm
0,27.57,319.8854260444641,0.03377391770482063
1,44.1,235.0863939523697,0.8481712341308594
2,54.88,192.1774508357048,0.8402963280677795
3,62.44,162.96375632286072,0.7104349136352539
4,67.51,143.18456149101257,0.5096688270568848
5,70.72,129.82061564922333,0.3659854829311371
6,73.52,119.81383937597275,0.46162089705467224
7,75.71,112.180779337883,0.4344174861907959
8,77.49,106.31800878047943,0.40283092856407166
9,78.57,103.0318992137909,0.37451228499412537
10,79.37,100.50313390791416,0.5083577632904053
11,80.37,97.94093091785908,0.5231695175170898
12,81.0,96.12168723344803,0.5622168779373169
13,81.51,94.60153852403164,0.4463742673397064
14,82.04,93.27863964438438,0.5349956750869751
15,82.38,93.10790006816387,0.45783254504203796
16,82.77,92.47456876933575,0.47064876556396484
17,83.2,92.40041165798903,0.4209926426410675
18,83.3,92.43459136039019,0.49213629961013794
19,83.41,92.98955918848515,0.4580894708633423
20,84.02,93.12991799414158,0.4946165382862091
21,84.02,92.93087127059698,0.4620603024959564
22,84.33,92.40365336835384,0.47409874200820923
23,84.39,92.93900705128908,0.41678136587142944
24,84.59,93.45482685416937,0.44602835178375244
25,84.84,93.5268629565835,0.45499181747436523
26,84.88,94.07023460417986,0.46391090750694275
27,84.99,93.45217477530241,0.4302552044391632
28,85.3,93.51446038484573,0.42002227902412415
29,85.19,94.69614355638623,0.40583881735801697
30,84.98,95.73811325058341,0.42228028178215027
31,85.19,96.03620522841811,0.42580902576446533
32,85.16,95.79190893471241,0.43346646428108215
33,85.18,96.70609376579523,0.3841676414012909
34,85.38,96.19381903856993,0.43043723702430725
35,85.43,97.31194460391998,0.3779321312904358
36,85.5,96.8410462513566,0.4019385278224945
37,85.42,98.79992088675499,0.3640297055244446
38,85.74,97.32047514617443,0.42963242530822754
39,85.69,99.14108181744814,0.3913802206516266
40,85.75,99.13023317232728,0.3857342302799225
41,85.69,100.0288688801229,0.36660832166671753
42,85.76,100.32588155567646,0.37433451414108276
43,86.01,99.49897145107388,0.3654533326625824
44,85.98,99.95678345113993,0.3601230978965759
45,85.92,100.09874397143722,0.35308638215065
46,86.03,101.71155397593975,0.35833048820495605
47,86.19,102.39751659706235,0.3492872714996338
48,86.21,101.4210904315114,0.3682478666305542
49,86.06,101.83766147866845,0.35032594203948975
50,86.28,102.26638400927186,0.34541913866996765
51,86.22,102.32772775366902,0.3629562556743622
52,86.15,101.94248658232391,0.33880335092544556
53,86.12,102.44086877256632,0.31006214022636414
54,86.3,102.37699232622981,0.33933591842651367
55,86.35,103.13928154483438,0.3177902102470398
56,86.35,103.92482562735677,0.31054624915122986
57,86.24,103.68040855973959,0.3264091908931732
58,86.14,103.9978032745421,0.32282570004463196
59,86.24,105.12361554801464,0.2968677878379822
60,86.34,104.4565249569714,0.2900632917881012
61,86.3,107.77157821506262,0.2977770268917084
62,86.39,103.63253686763346,0.31724974513053894
63,86.46,103.85659946128726,0.2918141186237335
64,86.41,106.00150921940804,0.28866875171661377
65,86.37,105.38143258169293,0.30833038687705994
66,86.6,107.39447790756822,0.28181225061416626
67,86.48,105.53334891796112,0.28813186287879944
