round,acc,loss,Fw_norm
104,84.13,122.25542357563972,1.2107316255569458
105,84.28,121.78132715821266,1.1755948066711426
106,84.28,125.8453859090805,1.1031984090805054
107,84.32,122.94109803438187,1.1810222864151
108,84.48,123.08651074767113,1.183126449584961
109,84.42,126.28473724424839,1.0943694114685059
110,84.53,126.62576153874397,1.1861165761947632
111,84.33,124.34547053277493,1.2258456945419312
112,84.42,125.85750016570091,1.1801685094833374
113,84.41,127.72042907774448,1.1893556118011475
114,84.36,123.068842664361,1.2472301721572876
115,84.64,125.51830442249775,1.1521353721618652
116,84.54,128.90791754424572,1.1822645664215088
117,84.82,126.81650646030903,1.2456454038619995
118,84.77,124.10778734087944,1.2167742252349854
119,84.95,123.48136134445667,1.1200615167617798
120,84.81,122.47854387760162,1.0704621076583862
121,84.67,123.61610509455204,1.135666847229004
122,84.61,123.07771855592728,1.1643091440200806
123,84.82,123.836182564497,1.1549006700515747
124,84.59,121.08919484913349,1.0779658555984497
125,84.8,122.71852926909924,1.1257340908050537
126,84.71,125.59773023426533,1.140476942062378
127,84.68,122.59876620769501,1.1368143558502197
128,84.84,129.32983314990997,1.1105140447616577
129,84.79,123.87859278917313,1.1392630338668823
130,84.79,122.45581775903702,1.1380760669708252
131,84.63,124.30740325152874,1.0435444116592407
132,84.68,121.8668665587902,1.0656452178955078
133,84.84,127.04091314971447,1.067798137664795
134,85.02,124.86620365083218,1.1798638105392456
135,84.89,125.78094068169594,1.1111350059509277
136,84.91,121.05938260257244,1.1153191328048706
137,84.81,125.34242032468319,1.0356731414794922
138,85.03,121.75679077208042,1.1601736545562744
139,85.12,127.5585255175829,1.0099923610687256
140,84.87,125.97377519309521,1.00572669506073
141,84.87,121.94258716702461,1.0547624826431274
142,85.1,126.99259778857231,1.0375231504440308
143,85.17,124.89940153062344,1.1266828775405884
144,85.0,128.7885076701641,1.1128883361816406
145,84.91,126.65178561210632,1.0870026350021362
146,85.08,123.59398333728313,1.122753620147705
147,84.89,122.96477618813515,1.0166996717453003
148,84.96,123.91819010674953,1.1044797897338867
149,84.89,119.78570733964443,1.065981149673462
150,85.11,118.12626367807388,1.0291966199874878
151,85.01,125.66511327028275,0.9754489064216614
