round,acc,loss,Fw_norm
45,84.77,106.94674207270145,0.9225984215736389
46,85.11,106.84241397678852,0.7902044057846069
47,84.94,108.27413815259933,0.7677874565124512
48,84.89,108.4827976450324,0.7627925872802734
49,84.99,108.28404799103737,0.7299264073371887
50,85.18,108.11689987778664,0.6562944054603577
51,85.19,107.04431531578302,0.735931396484375
52,85.33,108.50597874075174,0.6557180285453796
53,85.31,108.90090261399746,0.6788193583488464
54,85.45,109.27610005438328,0.7120360136032104
55,85.23,107.60409922897816,0.6888062953948975
56,85.46,108.17672622948885,0.8254728317260742
57,85.76,108.28930133581161,0.6624196767807007
58,85.58,108.76960787177086,0.6313965916633606
59,85.78,110.00185240805149,0.6881669163703918
60,85.81,110.20048485696316,0.6739940047264099
61,85.65,111.37976711243391,0.5958332419395447
62,85.88,110.74451753497124,0.6548289656639099
63,85.75,110.00037498772144,0.6134469509124756
64,85.77,111.0962753072381,0.5415274500846863
65,85.97,108.69744212925434,0.5836471319198608
66,85.78,112.01809810847044,0.5178216099739075
67,85.89,111.31228566169739,0.6291458010673523
68,85.88,113.47100224345922,0.6548907160758972
69,85.92,110.69124941527843,0.5823769569396973
70,85.88,113.50609016418457,0.5625559091567993
71,85.99,111.83826243877411,0.5894684791564941
72,85.94,112.69284222275019,0.5488629937171936
73,86.02,113.63507325947285,0.573323130607605
74,86.19,113.69726200401783,0.5751246213912964
75,86.24,115.15932230651379,0.5573948621749878
76,86.13,111.93899168819189,0.4778428077697754
77,86.1,116.0776474699378,0.5343729853630066
78,86.33,113.21961038559675,0.5984751582145691
79,85.9,112.91414634883404,0.5208511352539062
80,86.23,114.59373985230923,0.5034225583076477
81,86.46,111.94611669331789,0.5329319834709167
82,86.2,116.39602523297071,0.49690550565719604
83,86.14,111.66926616430283,0.508359968662262
84,86.34,114.66277884691954,0.47108301520347595
85,86.26,115.75454487651587,0.5042923092842102
86,86.18,112.67671630904078,0.5206050872802734
87,86.24,115.33865565061569,0.5128085017204285
88,86.29,114.80015930533409,0.4973771870136261
89,85.81,115.28694543242455,0.49309977889060974
90,86.28,113.49298693239689,0.644892692565918
91,86.36,115.85130692273378,0.5063245892524719
92,86.33,116.18030315637589,0.5063532590866089
93,86.36,113.50185330957174,0.4694691598415375
94,86.45,116.33905103057623,0.46713000535964966
95,86.56,112.72786612808704,0.4495778977870941
